commontrack_id,track_id,track_name,artist_id,artist_name,album_id,album_name
93008525,166005173,"La Luna e la Gatta (feat. Tommaso Paradiso, Jovanotti, Calcutta)",37843604,"Takagi & Ketra feat. Tommaso Paradiso, Jovanotti & Calcutta",31578571,"La Luna e la Gatta (feat. Tommaso Paradiso, Jovanotti, Calcutta)"
93837534,167091474,In questa nostra casa nuova,29330624,Biagio Antonacci feat. Laura Pausini,31804507,In questa nostra casa nuova
91699471,165680839,Soldi,29684222,Mahmood,31501986,Gioventù Bruciata
91697489,164351025,Con Calma,37573572,Daddy Yankee feat. Snow,31247138,Con Calma
89167720,160134247,Hola (I Say),37071578,Marco Mengoni feat. Tom Walker,30467001,Atlantico
88321369,158870257,Anche Fragile,11602,Elisa,30221223,Diari Aperti
92145546,164838268,I tuoi particolari (Sanremo 2019),37673356,Ultimo,31349795,Colpa delle favole
93850895,167113083,Te Robaré,38013728,Nicky Jam feat. Ozuna,31809059,Te Robaré
93415846,166708699,Pensare Male,37942692,The Kolors feat. Elodie,31724441,Pensare Male
91699457,164590871,Cosa ti aspetti da me,13875229,Loredana Bertè,31296345,LiBerté (Sanremo Edition)
91966772,164836102,Senza farlo apposta,34733341,Shade feat. Federica Carta,31349364,Truman (Sanremo Edition)
90942503,164162051,Electrico Romantico -,37402473,Bob Sinclar feat. Robbie Williams,31209148,Electrico Romantico (feat. Robbie Williams)
91789273,164298176,Certe Donne Brillano,13992037,Ligabue,31236761,Start
89824829,161095728,C'est la vie,25083314,ZOË,30653915,C'est la vie
91699469,164564961,La ragazza con il cuore di latta,28877462,Irama,31292788,Giovani per sempre
87890496,158051210,Torna a casa,33893539,Måneskin,30089203,Torna a casa
88863773,159695376,Per le strade una canzone,37017009,Eros Ramazzotti feat. Luis Fonsi,30374601,Vita ce n'è
93854688,167121553,Au DD,26630465,PNL,31810870,Au DD
87259699,157019603,Balance ton quoi,74208,Angèle,29952342,Brol
79593663,146426972,La Grenade,24784329,Clara Luciani,28255185,Sainte Victoire
88754054,160703998,Speechless,36995119,Robin Schulz feat. Erika Sirola,30574911,Speechless (feat. Erika Sirola)
87259701,157019605,Tout oublier,36735245,Angèle feat. Roméo Elvis,29952342,Brol
93237629,166519179,Adieu,37898433,Lynda feat. Dadju,31681000,Adieu
93415755,166632067,Miami Vice,14362227,Maître Gims,31709899,Miami Vice
86155390,156279362,Que Dieu me pardonne,36637264,Kendji Girac feat. Claudio Capéo,29808820,Amigo
85278535,153228907,5 dols,14016381,Christine and the Queens,29356401,Chris
10228272,37949569,C'est magnifique,19009,Benjamin Biolay,15771112,Pourquoi tu pleures ? (Musiques inspirées du film «Pourquoi tu pleures»)
56096576,157060652,À nos souvenirs,31195933,Trois Cafés Gourmands,29958601,Un air de rien
90931480,162885317,Khapta,37399244,Heuss L'enfoiré feat. Sofiane,30967379,En esprit
87745356,157714129,Tu donnes,27877725,Jérémy Frerot,30062976,Matriochka
88803473,30973960,Bohemian Rhapsody,118,Queen,13831912,The Platinum Collection
89460741,160599407,Hey DJ,37122364,CNCO feat. Meghan Trainor & Sean Paul,30557288,Hey DJ
1119398,134069128,Come and Get Your Love,8592,Redbone,26770005,Come and Get Your Love
89629962,160822309,Trop beau,24655691,Lomepal,30595695,Jeannine
93837470,167091288,Jamais,38010503,Ninho feat. Dadju,31804430,Destin
85025188,152676175,Oh Man,28708978,Jain,29269712,Souldier
